url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/mostro-og-prime-sneakers/403206?swatch=01,Puma,Mostro OG Prime Sneakers," ? 7,499.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/puma-army-trainer-all-day-comfort-sneakers/402701?swatch=02,Puma,PUMA Army Trainer All-Day Comfort Sneakers," ? 5,999.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/seriah-womens-running-shoes/310595?swatch=04,Puma,Seriah Women's Running Shoes," ? 2,789.00 "," ? 4,499.00 "
https://in.puma.com/in/en/pd/inhale-smile-sneakers/402589?swatch=03,Puma,Inhale Smile Sneakers," ? 8,799.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/electrify-nitro-3-womens-running-shoes/378456?swatch=04,Puma,Electrify NITRO™ 3 Women's Running Shoes," ? 8,099.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/royalcat-memory-foam-slides/396064?swatch=01,Puma,Royalcat Memory Foam Slides,," ? 3,299.00 "
https://in.puma.com/in/en/pd/deviate-nitro-elite-womens-trail-running-shoes/310468?swatch=03,Puma,Deviate NITRO™ Elite Women's Trail Running Shoes,," ? 20,999.00 "
https://in.puma.com/in/en/pd/wave-womens-flip-flops/395845?swatch=01,Puma,Wave Women's Flip-Flops," ? 1,159.00 "," ? 1,999.00 "
https://in.puma.com/in/en/pd/aviator-running-shoes/195175?swatch=02,Puma,Aviator Running Shoes," ? 6,399.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/speedcat-faded-sneakers/403688?swatch=03,Puma,Speedcat Faded Sneakers,," ? 9,999.00 "
https://in.puma.com/in/en/pd/easy-rider-mix-sneakers/399025?swatch=04,Puma,Easy Rider Mix Sneakers,," ? 7,999.00 "
https://in.puma.com/in/en/pd/softride-rift-swift-kicks-womens-running-shoes/310923?swatch=02,Puma,Softride Rift Swift Kicks Women's Running Shoes," ? 4,799.00 "," ? 5,999.00 "
https://in.puma.com/in/en/pd/deviate-nitro-elite-3-womens-running-shoes/309810?swatch=08,Puma,Deviate NITRO™ Elite 3 Women's Running Shoes,," ? 19,999.00 "
https://in.puma.com/in/en/pd/suede-classic-sneakers/399781?swatch=01,Puma,Suede Classic Sneakers,," ? 7,999.00 "
https://in.puma.com/in/en/pd/club-kayzer-superior-cushioning-casual-shoes/402603?swatch=02,Puma,Club Kayzer Superior Cushioning Casual Shoes," ? 4,399.00 "," ? 5,499.00 "
https://in.puma.com/in/en/pd/ragegryp-womens-running-shoes/310886?swatch=04,Puma,Ragegryp Women's Running Shoes,," ? 3,799.00 "
